scenario,condition_name,window_label,window_start,window_end,run_count,eventual_success_rate,first_attempt_success_rate,mean_corrected_attempts,median_corrected_attempts,mean_runtime,median_runtime
lever,baseline_raw,1-25,1,25,25,1,0.08,3.96,4,14655.12,14782
lever,baseline_raw,26-50,26,50,25,1,0.12,3.48,4,12979.24,14748
lever,baseline_raw,51-75,51,75,25,1,0.16,3.52,4,13117.28,14772
lever,baseline_raw,76-100,76,100,25,1,0.24,3.16,3,11849.08,11294
lever,baseline_raw,101-125,101,125,25,1,0.12,3.48,3,12976.56,11289
lever,baseline_raw,126-150,126,150,25,1,0.12,3.36,3,12549.32,11393
lever,baseline_raw,151-175,151,175,25,1,0.16,3.08,3,11546.4,11267
lever,baseline_raw,176-200,176,200,25,1,0.24,3.8,4,14082.88,14780
lever,raw_memory,1-25,1,25,25,1,0.96,1.08,1,4564.2,4257
lever,raw_memory,26-50,26,50,25,1,1,1,1,4275.56,4253
lever,raw_memory,51-75,51,75,25,1,1,1,1,4307.2,4290
lever,raw_memory,76-100,76,100,25,1,1,1,1,4314.88,4287
lever,raw_memory,101-125,101,125,25,1,1,1,1,4310.6,4283
lever,raw_memory,126-150,126,150,25,1,1,1,1,4327.32,4306
lever,raw_memory,151-175,151,175,25,1,1,1,1,4355.24,4323
lever,raw_memory,176-200,176,200,25,1,1,1,1,4354.48,4327
lever,distilled_memory,1-25,1,25,25,1,0.96,1.08,1,4526.72,4227
lever,distilled_memory,26-50,26,50,25,1,1,1,1,4265.28,4242
lever,distilled_memory,51-75,51,75,25,1,1,1,1,4275.36,4256
lever,distilled_memory,76-100,76,100,25,1,1,1,1,4298.8,4270
lever,distilled_memory,101-125,101,125,25,1,1,1,1,4292.8,4274
lever,distilled_memory,126-150,126,150,25,1,1,1,1,4307.68,4301
lever,distilled_memory,151-175,151,175,25,1,1,1,1,4322.24,4293
lever,distilled_memory,176-200,176,200,25,1,1,1,1,4357.8,4329
